window_start,n,count,mean_signal,sem,ci95_half,proportion_positive,proportion_negative,trade_action,window_start_iso
2025-09-09 00:00:00+00:00,4,4,0.17066670954227448,0.17966397106647491,0.5717709409132018,0.5,0.5,HOLD,2025-09-09T00:00:00Z
2025-09-09 00:05:00+00:00,4,4,-0.13990068435668945,0.2099986970424652,0.6683095775173027,0.5,0.5,HOLD,2025-09-09T00:05:00Z
2025-09-09 00:35:00+00:00,4,4,-0.7257804870605469,0.1687517911195755,0.5370435141585947,0.0,1.0,LONG,2025-09-09T00:35:00Z
2025-09-09 01:45:00+00:00,6,6,-0.0872083529829979,0.08177638053894043,0.21021287839748326,0.3333333333333333,0.6666666666666666,LONG,2025-09-09T01:45:00Z
2025-09-09 01:55:00+00:00,6,6,0.10338587313890457,0.2521565854549408,0.6481891383065468,0.6666666666666666,0.3333333333333333,SHORT,2025-09-09T01:55:00Z
2025-09-09 02:25:00+00:00,4,4,0.06205564737319946,0.355071097612381,1.1299947027097497,0.5,0.5,HOLD,2025-09-09T02:25:00Z
2025-09-09 02:30:00+00:00,12,12,0.5361531972885132,0.30010083317756653,0.6605174803523526,0.6666666666666666,0.3333333333333333,SHORT,2025-09-09T02:30:00Z
2025-09-09 02:45:00+00:00,4,4,-0.7087771892547607,1.3713099956512451,4.364120429059684,0.5,0.5,HOLD,2025-09-09T02:45:00Z
2025-09-09 02:55:00+00:00,6,6,0.15223251283168793,0.34742605686187744,0.8930871109958913,0.3333333333333333,0.6666666666666666,LONG,2025-09-09T02:55:00Z
2025-09-09 03:05:00+00:00,8,8,-0.020288705825805664,0.17495089769363403,0.41369313552429515,0.5,0.5,HOLD,2025-09-09T03:05:00Z
2025-09-09 03:10:00+00:00,10,10,-0.25385236740112305,0.22969640791416168,0.5196093744448779,0.4,0.6,LONG,2025-09-09T03:10:00Z
2025-09-09 03:15:00+00:00,6,6,0.34873875975608826,0.30266427993774414,0.7780233003039095,0.6666666666666666,0.3333333333333333,SHORT,2025-09-09T03:15:00Z
2025-09-09 03:20:00+00:00,4,4,-0.3961228132247925,0.39267805218696594,1.2496768163486307,0.5,0.5,HOLD,2025-09-09T03:20:00Z
2025-09-09 03:30:00+00:00,6,6,0.3536745607852936,0.03840019553899765,0.09871084513742998,1.0,0.0,SHORT,2025-09-09T03:30:00Z
2025-09-09 03:35:00+00:00,12,12,0.6047406792640686,0.23719759285449982,0.5220683818801514,0.8333333333333334,0.16666666666666666,SHORT,2025-09-09T03:35:00Z
2025-09-09 03:40:00+00:00,10,10,0.6135092973709106,0.24698813259601593,0.5587259732920354,0.6,0.4,SHORT,2025-09-09T03:40:00Z
2025-09-09 03:45:00+00:00,6,6,0.6262680292129517,0.3579818606376648,0.9202216684424716,0.6666666666666666,0.3333333333333333,SHORT,2025-09-09T03:45:00Z
2025-09-09 03:55:00+00:00,4,4,0.5345638990402222,0.3659524917602539,1.1646241553119896,0.5,0.5,HOLD,2025-09-09T03:55:00Z
2025-09-09 04:00:00+00:00,4,4,-0.1203027069568634,0.4120451509952545,1.311311568395144,0.5,0.5,HOLD,2025-09-09T04:00:00Z
2025-09-09 04:15:00+00:00,4,4,0.36836785078048706,0.43178990483283997,1.374148187294315,0.5,0.5,HOLD,2025-09-09T04:15:00Z
2025-09-09 04:25:00+00:00,6,6,-0.1416136473417282,0.5646271705627441,1.451420348555317,0.3333333333333333,0.6666666666666666,LONG,2025-09-09T04:25:00Z
2025-09-09 13:25:00+00:00,4,4,-0.6629223823547363,0.0,0.0,0.0,1.0,LONG,2025-09-09T13:25:00Z
2025-09-09 13:30:00+00:00,6,6,-0.2518082559108734,0.2600114047527313,0.6683805941156528,0.3333333333333333,0.6666666666666666,LONG,2025-09-09T13:30:00Z
2025-09-09 13:35:00+00:00,8,8,-0.06980063021183014,0.0,0.0,0.0,1.0,LONG,2025-09-09T13:35:00Z
